r0_Lp,rho_throat_planck,QI_ratio_eta_0.1,pass_eta_0.1,QI_ratio_eta_0.03,pass_eta_0.03,QI_ratio_eta_0.01,pass_eta_0.01,QI_ratio_eta_0.003,pass_eta_0.003,QI_ratio_eta_0.001,pass_eta_0.001
1.0,-0.039788735772973836,0.00041887902047863917,True,3.3929200658769764e-06,True,4.188790204786391e-08,True,3.3929200658769767e-10,True,4.188790204786392e-12,True
3.0,-0.004420970641441538,0.0037699111843077543,True,3.0536280592892786e-05,True,3.769911184307752e-07,True,3.053628059289281e-09,True,3.7699111843077525e-11,True
10.0,-0.00039788735772973834,0.041887902047863905,True,0.00033929200658769766,True,4.188790204786391e-06,True,3.392920065876976e-08,True,4.188790204786391e-10,True
30.0,-4.420970641441538e-05,0.3769911184307752,True,0.0030536280592892784,True,3.769911184307752e-05,True,3.053628059289279e-07,True,3.769911184307752e-09,True
100.0,-3.9788735772973834e-06,4.188790204786391,False,0.03392920065876977,True,0.00041887902047863906,True,3.3929200658769764e-06,True,4.188790204786391e-08,True
300.0,-4.420970641441537e-07,37.69911184307752,False,0.3053628059289279,True,0.0037699111843077517,True,3.0536280592892786e-05,True,3.7699111843077514e-07,True
1000.0,-3.978873577297384e-08,418.8790204786391,False,3.392920065876977,False,0.04188790204786391,True,0.00033929200658769766,True,4.188790204786391e-06,True
3000.0,-4.420970641441538e-09,3769.9111843077526,False,30.536280592892794,False,0.37699111843077526,True,0.0030536280592892797,True,3.769911184307752e-05,True
10000.0,-3.978873577297384e-10,41887.902047863914,False,339.2920065876977,False,4.188790204786391,False,0.03392920065876977,True,0.0004188790204786391,True
30000.0,-4.420970641441537e-11,376991.1184307752,False,3053.628059289279,False,37.69911184307752,False,0.30536280592892784,True,0.0037699111843077517,True
100000.0,-3.978873577297384e-12,4188790.2047863915,False,33929.20065876977,False,418.8790204786391,False,3.3929200658769774,False,0.04188790204786391,True
300000.0,-4.4209706414415377e-13,37699111.843077525,False,305362.8059289279,False,3769.9111843077526,False,30.536280592892798,False,0.37699111843077526,True
1000000.0,-3.978873577297384e-14,418879020.4786391,False,3392920.065876977,False,41887.902047863914,False,339.29200658769776,False,4.188790204786391,False
1000000000.0,-3.978873577297383e-20,418879020478639.06,False,3392920065876.9766,False,41887902047.86391,False,339292006.5876976,False,4188790.2047863905,False
1000000000000.0,-3.978873577297384e-26,4.188790204786392e+20,False,3.3929200658769766e+18,False,4.188790204786391e+16,False,339292006587697.7,False,4188790204786.3916,False
1e+20,-3.9788735772973834e-42,4.188790204786391e+36,False,3.3929200658769767e+34,False,4.1887902047863904e+32,False,3.392920065876976e+30,False,4.188790204786391e+28,False
6.18714249917247e+34,-1.0393932763848436e-71,1.6034995651151108e+66,False,1.2988346477432392e+64,False,1.6034995651151108e+62,False,1.2988346477432397e+60,False,1.6034995651151114e+58,False
